****
*
* 11
****

Solving ODY y''(x) + y(x) = 0
*****************************

Problem 1: Initial value problem using Runge-Kutta RK4
******************************************************

(a) N = 30
**********

X        y(x)
0.000000 1.000000
0.333333 0.944959
0.666667 0.785913
1.000000 0.540370
1.333333 0.235357
1.666667 -0.095555
2.000000 -0.415944
2.333333 -0.690546
2.666667 -0.889139
3.000000 -0.989867
3.333333 -0.981645
3.666667 -0.865379
4.000000 -0.653869
4.333333 -0.370396
4.666667 -0.046161
5.000000 0.283148
5.333333 0.581287
5.666667 0.815442
6.000000 0.959842
6.333333 0.998596
6.666667 0.927440
7.000000 0.754208
7.333333 0.497968
7.666667 0.186925
8.000000 -0.144685
8.333333 -0.460365
8.666667 -0.725370
9.000000 -0.910532
9.333333 -0.995475
9.666667 -0.970851
10.000000 -0.839372
